State_Code,District,Type,Status,Count
UP,Rampur,total,deceased,148
UP,Rampur,total,recovered,11676
UP,Rampur,total,tested,274288
UP,Rampur,total,vaccinated1,989666
UP,Rampur,total,vaccinated2,250420
UP,Saharanpur,delta,vaccinated1,6
UP,Saharanpur,delta,vaccinated2,17
UP,Saharanpur,delta21_14,confirmed,1
UP,Saharanpur,delta7,vaccinated1,19216
UP,Saharanpur,delta7,vaccinated2,33326
UP,Saharanpur,meta,population,3464228
UP,Saharanpur,total,confirmed,32730
UP,Saharanpur,total,deceased,420
UP,Saharanpur,total,recovered,32309
UP,Saharanpur,total,tested,266387
UP,Saharanpur,total,vaccinated1,1638111
UP,Saharanpur,total,vaccinated2,576986
UP,Sambhal,delta,vaccinated1,1708
UP,Sambhal,delta,vaccinated2,411
UP,Sambhal,delta7,vaccinated1,27630
UP,Sambhal,delta7,vaccinated2,23914
UP,Sambhal,meta,population,2217020
UP,Sambhal,total,confirmed,9438
UP,Sambhal,total,deceased,106
UP,Sambhal,total,recovered,9331
UP,Sambhal,total,tested,309333
UP,Sambhal,total,vaccinated1,893786
UP,Sambhal,total,vaccinated2,204352
UP,Sant Kabir Nagar,delta,vaccinated1,82
UP,Sant Kabir Nagar,delta,vaccinated2,202
UP,Sant Kabir Nagar,delta7,vaccinated1,44511
UP,Sant Kabir Nagar,delta7,vaccinated2,26920
UP,Sant Kabir Nagar,meta,population,1714300
UP,Sant Kabir Nagar,total,confirmed,8159
UP,Sant Kabir Nagar,total,deceased,98
UP,Sant Kabir Nagar,total,recovered,8061
UP,Sant Kabir Nagar,total,tested,292606
UP,Sant Kabir Nagar,total,vaccinated1,799506
UP,Sant Kabir Nagar,total,vaccinated2,195105
UP,Shahjahanpur,delta,vaccinated1,3563
UP,Shahjahanpur,delta,vaccinated2,969
UP,Shahjahanpur,delta7,vaccinated1,185421
UP,Shahjahanpur,delta7,vaccinated2,79519
UP,Shahjahanpur,meta,population,3002376
UP,Shahjahanpur,total,confirmed,20361
UP,Shahjahanpur,total,deceased,444
UP,Shahjahanpur,total,recovered,19916
UP,Shahjahanpur,total,tested,437195
UP,Shahjahanpur,total,vaccinated1,1743273
UP,Shahjahanpur,total,vaccinated2,538827
UP,Shamli,delta,vaccinated1,24
UP,Shamli,delta,vaccinated2,14
UP,Shamli,delta7,vaccinated1,12602
UP,Shamli,delta7,vaccinated2,16389
UP,Shamli,meta,population,1274815
UP,Shamli,total,confirmed,12976
UP,Shamli,total,deceased,45
UP,Shamli,total,recovered,12931
UP,Shamli,total,tested,246597
UP,Shamli,total,vaccinated1,604968
UP,Shamli,total,vaccinated2,206438
UP,Shrawasti,delta,vaccinated1,37
UP,Shrawasti,delta,vaccinated2,120
UP,Shrawasti,delta7,vaccinated1,7342
UP,Shrawasti,delta7,vaccinated2,17808
UP,Shrawasti,meta,population,1114615
UP,Shrawasti,total,confirmed,4388
UP,Shrawasti,total,deceased,35
UP,Shrawasti,total,recovered,4353
UP,Shrawasti,total,tested,221566
UP,Shrawasti,total,vaccinated1,515155
UP,Shrawasti,total,vaccinated2,181654
UP,Siddharthnagar,delta,vaccinated1,250
UP,Siddharthnagar,delta,vaccinated2,2209
UP,Siddharthnagar,delta21_14,confirmed,1
UP,Siddharthnagar,delta7,vaccinated1,18746
UP,Siddharthnagar,delta7,vaccinated2,53973
UP,Siddharthnagar,meta,population,2553526
UP,Siddharthnagar,total,confirmed,9373
UP,Siddharthnagar,total,deceased,100
UP,Siddharthnagar,total,recovered,9273
UP,Siddharthnagar,total,tested,295047
UP,Siddharthnagar,total,vaccinated1,1225133
UP,Siddharthnagar,total,vaccinated2,479630
UP,Sitapur,delta,vaccinated1,81
UP,Sitapur,delta,vaccinated2,197
UP,Sitapur,delta7,vaccinated1,33825
UP,Sitapur,delta7,vaccinated2,52112
UP,Sitapur,meta,population,4474446
UP,Sitapur,total,confirmed,12398
UP,Sitapur,total,deceased,185
UP,Sitapur,total,recovered,12211
UP,Sitapur,total,tested,289473
UP,Sitapur,total,vaccinated1,2139996
UP,Sitapur,total,vaccinated2,497241
